hum_prot,hum_prot_name,study_name,bacterial_cluster,bacterial_gene_names,phylum,class,order,family,genus,species
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_C7H4X2,['FAEPRAA2165_01342' 'CRH10_03100' nan],p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_prausnitzii
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_C7H4X2,['FAEPRAA2165_01342' 'CRH10_03100' nan],p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_prausnitzii
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_sp_HMSC71H05
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_pittmaniae
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_haemolyticus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_australis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_sp_A12
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_oralis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_parasanguinis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_mitis
