ID,bacteria,isolate,link,Tax ID
90,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 1,,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&locale=en&serv=gn&dbkey=genome&keywords=coprococcus&page=1,
90,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 1,T02583,https://www.genome.jp/entry/gn:T02583,751585
90,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 1,T02584,https://www.genome.jp/entry/gn:T02584,717962
90,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 1,T07118,https://www.genome.jp/entry/gn:T07118,410072
90,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus 1,T07943,https://www.genome.jp/entry/gn:T07943,411474
111,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] xylanophilum group,,,1336241
219,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella,,,1506577
433,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceaencultured,,,
574,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2,,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&locale=en&serv=gn&dbkey=genome&keywords=Ruminococcus&page=1,
574,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2,T01387,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T01387,
574,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2,T02600,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T02600,
574,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2,T02601,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T02601,
574,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2,T02606,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T02606,
574,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2,T03158,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T03158,
574,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2,T05998,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T05998,
574,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2,T08490,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T08490,
574,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2,T08757,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T08757,
622,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&locale=en&serv=gn&dbkey=alldb&keywords=Ruminiclostridium&page=1,
622,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,T00835,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T00835,
